[INFO]Started
[INFO]Call: main.py--modetrain--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set1800--nb_train_batches1800--batch_size10--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--training_path/content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa-0--run_name050_PA_0_TRAIN--load_partial_instanceTrue--devicecpu
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 10
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: ALTR_20
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]load_partial_instance: True
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 1800
[INFO]nb_runs: 1
[INFO]nb_train_batches: 1800
[INFO]output_path: /content/NLNS/runs/run_050_PA_0_TRAIN_2023-11-28 12:12:45.150777
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: 050_PA_0_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: /content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa-0
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 1/1800, repair costs (reward): 435879.000, loss: -50955700.000000, critic_loss: 201877979136.000000
[INFO]Batch 2/1800, repair costs (reward): 525206.219, loss: -66907570.000000, critic_loss: 294871384064.000000
[INFO]Batch 3/1800, repair costs (reward): 541259.354, loss: -74601153.333333, critic_loss: 312736350208.000000
[INFO]Batch 4/1800, repair costs (reward): 524949.203, loss: -70483268.000000, critic_loss: 293140406272.000000
[INFO]Batch 5/1800, repair costs (reward): 508838.681, loss: -66856525.600000, critic_loss: 274456366284.799988
[INFO]Batch 6/1800, repair costs (reward): 532163.828, loss: -72270628.666667, critic_loss: 300203786240.000000
[INFO]Batch 7/1800, repair costs (reward): 529995.946, loss: -71822624.571429, critic_loss: 296753276050.285706
[INFO]Batch 8/1800, repair costs (reward): 535126.305, loss: -72592694.500000, critic_loss: 300760858624.000000
[INFO]Batch 9/1800, repair costs (reward): 535749.326, loss: -72583919.555556, critic_loss: 300751414158.222229
[INFO]Batch 10/1800, repair costs (reward): 526252.950, loss: -70035390.400000, critic_loss: 291381528166.400024
[INFO]Batch 11/1800, repair costs (reward): 527926.301, loss: -70925904.727273, critic_loss: 292068117410.909119
[INFO]Batch 12/1800, repair costs (reward): 532205.328, loss: -72109257.333333, critic_loss: 296082061994.666687
[INFO]Batch 13/1800, repair costs (reward): 534303.755, loss: -72173203.692308, critic_loss: 298202951995.076904
[INFO]Batch 14/1800, repair costs (reward): 526192.545, loss: -70576299.714286, critic_loss: 289711936073.142883
[INFO]Batch 15/1800, repair costs (reward): 527624.421, loss: -70959366.133333, critic_loss: 290850568055.466675
[INFO]Batch 16/1800, repair costs (reward): 524893.088, loss: -69882446.500000, critic_loss: 287698965504.000000
[INFO]Batch 17/1800, repair costs (reward): 530832.888, loss: -71830424.941176, critic_loss: 294200094960.941162
[INFO]Batch 18/1800, repair costs (reward): 526489.384, loss: -70543626.666667, critic_loss: 289780810638.222229
