[INFO]Started
[INFO]Call: main.py--modetrain--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set1800--nb_train_batches1800--batch_size10--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--training_path/content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa--run_name050_PA_TRAIN--load_partial_instanceTrue--devicecpu
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 10
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: ALTR_20
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]load_partial_instance: True
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 1800
[INFO]nb_runs: 1
[INFO]nb_train_batches: 1800
[INFO]output_path: /content/NLNS/runs/run_050_PA_TRAIN_2023-11-28 11:37:11.918180
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: 050_PA_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: /content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 1/1800, repair costs (reward): 475615.750, loss: -54968500.000000, critic_loss: 230509543424.000000
[INFO]Batch 2/1800, repair costs (reward): 494053.297, loss: -62102514.000000, critic_loss: 251858223104.000000
[INFO]Batch 3/1800, repair costs (reward): 529092.323, loss: -72547694.666667, critic_loss: 290951987200.000000
[INFO]Batch 4/1800, repair costs (reward): 508308.531, loss: -68188697.000000, critic_loss: 269388173312.000000
[INFO]Batch 5/1800, repair costs (reward): 498650.775, loss: -65452692.000000, critic_loss: 258246747750.399994
[INFO]Batch 6/1800, repair costs (reward): 519787.531, loss: -70653216.666667, critic_loss: 281520851626.666687
[INFO]Batch 7/1800, repair costs (reward): 520684.554, loss: -70706934.285714, critic_loss: 281626450797.714294
[INFO]Batch 8/1800, repair costs (reward): 523698.109, loss: -71401800.500000, critic_loss: 284408924160.000000
[INFO]Batch 9/1800, repair costs (reward): 525829.035, loss: -71538591.555556, critic_loss: 286600780913.777771
[INFO]Batch 10/1800, repair costs (reward): 519028.925, loss: -69315378.000000, critic_loss: 279797347123.200012
[INFO]Batch 11/1800, repair costs (reward): 521794.125, loss: -70255504.363636, critic_loss: 282139227229.090881
[INFO]Batch 12/1800, repair costs (reward): 529854.651, loss: -72002685.000000, critic_loss: 291324269909.333313
[INFO]Batch 13/1800, repair costs (reward): 527046.627, loss: -71450138.769231, critic_loss: 288090957666.461548
[INFO]Batch 14/1800, repair costs (reward): 522421.944, loss: -70302195.428571, critic_loss: 283221689490.285706
[INFO]Batch 15/1800, repair costs (reward): 527481.031, loss: -71093668.800000, critic_loss: 288694017501.866638
[INFO]Batch 16/1800, repair costs (reward): 524644.098, loss: -69997000.500000, critic_loss: 285352335360.000000
[INFO]Batch 17/1800, repair costs (reward): 530418.232, loss: -71958058.823529, critic_loss: 291493775239.529419
[INFO]Batch 18/1800, repair costs (reward): 525539.191, loss: -70621161.777778, critic_loss: 286536469162.666687
