[INFO]Started
[INFO]Call: main.py--modetrain--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set1800--nb_train_batches1800--batch_size10--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--devicecpu--training_pathdata/050/vrppd-instances-1.0/train/pa--run_name050_PA_TRAIN--load_partial_instanceTrue
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 10
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: ALTR_20
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]load_partial_instance: True
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 1800
[INFO]nb_runs: 1
[INFO]nb_train_batches: 1800
[INFO]output_path: /Users/cstenico/Documents/shire/banana/NLNS/runs/run_050_PA_TRAIN_2023-11-28 00:15:58.518836
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: 050_PA_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: data/050/vrppd-instances-1.0/train/pa
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 1/1800, repair costs (reward): 441505.156, loss: -50473736.000000, critic_loss: 206816346112.000000
[INFO]Batch 2/1800, repair costs (reward): 480870.172, loss: -59542860.000000, critic_loss: 245579481088.000000
[INFO]Batch 3/1800, repair costs (reward): 510112.531, loss: -69417770.666667, critic_loss: 273789463210.666656
[INFO]Batch 4/1800, repair costs (reward): 492607.297, loss: -65583349.000000, critic_loss: 254991892480.000000
[INFO]Batch 5/1800, repair costs (reward): 489253.306, loss: -63729510.400000, critic_loss: 250921582592.000000
[INFO]Batch 6/1800, repair costs (reward): 520971.589, loss: -70598525.333333, critic_loss: 288945313109.333313
[INFO]Batch 7/1800, repair costs (reward): 525178.183, loss: -70892896.000000, critic_loss: 292444429165.714294
[INFO]Batch 8/1800, repair costs (reward): 527302.848, loss: -71317297.000000, critic_loss: 293484716032.000000
[INFO]Batch 9/1800, repair costs (reward): 530336.462, loss: -71695591.111111, critic_loss: 295611283683.555542
[INFO]Batch 10/1800, repair costs (reward): 529092.984, loss: -70134701.600000, critic_loss: 294400832307.200012
[INFO]Batch 11/1800, repair costs (reward): 537478.435, loss: -72044066.181818, critic_loss: 303118808157.090881
[INFO]Batch 12/1800, repair costs (reward): 543052.909, loss: -73397874.666667, critic_loss: 308940556970.666687
[INFO]Batch 13/1800, repair costs (reward): 540553.613, loss: -72824067.076923, critic_loss: 305462000403.692322
[INFO]Batch 14/1800, repair costs (reward): 533892.116, loss: -71422772.285714, critic_loss: 298716080420.571411
[INFO]Batch 15/1800, repair costs (reward): 532715.858, loss: -71397626.400000, critic_loss: 296881137254.400024
[INFO]Batch 16/1800, repair costs (reward): 527708.236, loss: -70088097.500000, critic_loss: 291475295232.000000
[INFO]Batch 17/1800, repair costs (reward): 535454.281, loss: -72385218.823529, critic_loss: 300443322247.529419
[INFO]Batch 18/1800, repair costs (reward): 532420.516, loss: -71249075.111111, critic_loss: 296921238186.666687
