[INFO]Started
[INFO]Call: main.py--modetrain--instance_blueprintPA_0--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set900--nb_train_batches900--batch_size10--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--devicecpu--training_pathdata/050/vrppd-instances-1.0/train/pa-0--run_namePA_0_TRAIN
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 10
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: PA_0
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 900
[INFO]nb_runs: 1
[INFO]nb_train_batches: 900
[INFO]output_path: /Users/cstenico/Documents/shire/banana/NLNS/runs/run_PA_0_TRAIN_2023-11-27 20:28:10.413414
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: PA_0_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: data/050/vrppd-instances-1.0/train/pa-0
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 1/900, repair costs (reward): 5232931.000, loss: -12071340032.000000, critic_loss: 27819750981632.000000
[INFO]Batch 2/900, repair costs (reward): 5206978.750, loss: -11831326720.000000, critic_loss: 27384101208064.000000
[INFO]Batch 3/900, repair costs (reward): 5123224.833, loss: -11610296320.000000, critic_loss: 26571895209984.000000
[INFO]Batch 4/900, repair costs (reward): 5083262.375, loss: -11444344832.000000, critic_loss: 26188450365440.000000
[INFO]Batch 5/900, repair costs (reward): 5007495.800, loss: -11070162944.000000, critic_loss: 25412973782630.398438
[INFO]Batch 6/900, repair costs (reward): 5010675.333, loss: -11141726549.333334, critic_loss: 25476047656277.332031
[INFO]Batch 7/900, repair costs (reward): 4986667.571, loss: -11069662354.285715, critic_loss: 25222702357357.714844
[INFO]Batch 8/900, repair costs (reward): 4997063.250, loss: -11122191616.000000, critic_loss: 25322132340736.000000
[INFO]Batch 9/900, repair costs (reward): 5020100.611, loss: -11241493845.333334, critic_loss: 25580057657344.000000
[INFO]Batch 10/900, repair costs (reward): 5040657.500, loss: -11321120563.200001, critic_loss: 25793665800601.601562
[INFO]Batch 11/900, repair costs (reward): 5047919.682, loss: -11332742981.818182, critic_loss: 25843606939834.183594
[INFO]Batch 12/900, repair costs (reward): 5039669.792, loss: -11317900800.000000, critic_loss: 25762953428992.000000
[INFO]Batch 13/900, repair costs (reward): 5031232.038, loss: -11281682589.538462, critic_loss: 25668002049102.769531
[INFO]Batch 14/900, repair costs (reward): 5001724.429, loss: -11147683913.142857, critic_loss: 25369466746587.429688
[INFO]Batch 15/900, repair costs (reward): 5002541.200, loss: -11167499332.266666, critic_loss: 25384914727731.199219
[INFO]Batch 16/900, repair costs (reward): 4995988.531, loss: -11142012032.000000, critic_loss: 25312327630848.000000
[INFO]Batch 17/900, repair costs (reward): 5005908.147, loss: -11176201999.058823, critic_loss: 25415510793758.117188
